,Date,Visitor Team,Visitor Pts,Home Team,Home Pts
0,Tue Oct 22 2019,New Orleans Pelicans,122,Toronto Raptors,130
1,Tue Oct 22 2019,Los Angeles Lakers,102,Los Angeles Clippers,112
2,Wed Oct 23 2019,Chicago Bulls,125,Charlotte Hornets,126
3,Wed Oct 23 2019,Detroit Pistons,119,Indiana Pacers,110
4,Wed Oct 23 2019,Cleveland Cavaliers,85,Orlando Magic,94
5,Wed Oct 23 2019,Minnesota Timberwolves,127,Brooklyn Nets,126
6,Wed Oct 23 2019,Memphis Grizzlies,101,Miami Heat,120
7,Wed Oct 23 2019,Boston Celtics,93,Philadelphia 76ers,107
8,Wed Oct 23 2019,Washington Wizards,100,Dallas Mavericks,108
9,Wed Oct 23 2019,New York Knicks,111,San Antonio Spurs,120
10,Wed Oct 23 2019,Oklahoma City Thunder,95,Utah Jazz,100
11,Wed Oct 23 2019,Sacramento Kings,95,Phoenix Suns,124
12,Wed Oct 23 2019,Denver Nuggets,108,Portland Trail Blazers,100
13,Thu Oct 24 2019,Atlanta Hawks,117,Detroit Pistons,100
14,Thu Oct 24 2019,Milwaukee Bucks,117,Houston Rockets,111
15,Thu Oct 24 2019,Los Angeles Clippers,141,Golden State Warriors,122
16,Fri Oct 25 2019,Toronto Raptors,106,Boston Celtics,112
17,Fri Oct 25 2019,Minnesota Timberwolves,121,Charlotte Hornets,99
18,Fri Oct 25 2019,New York Knicks,109,Brooklyn Nets,113
19,Fri Oct 25 2019,Chicago Bulls,110,Memphis Grizzlies,102
20,Fri Oct 25 2019,Dallas Mavericks,123,New Orleans Pelicans,116
21,Fri Oct 25 2019,Washington Wizards,97,Oklahoma City Thunder,85
22,Fri Oct 25 2019,Phoenix Suns,107,Denver Nuggets,108
23,Fri Oct 25 2019,Portland Trail Blazers,122,Sacramento Kings,112
24,Fri Oct 25 2019,Utah Jazz,86,Los Angeles Lakers,95
25,Sat Oct 26 2019,Miami Heat,131,Milwaukee Bucks,126
26,Sat Oct 26 2019,Philadelphia 76ers,117,Detroit Pistons,111
27,Sat Oct 26 2019,Orlando Magic,99,Atlanta Hawks,103
28,Sat Oct 26 2019,Boston Celtics,118,New York Knicks,95
29,Sat Oct 26 2019,Toronto Raptors,108,Chicago Bulls,84
30,Sat Oct 26 2019,Indiana Pacers,99,Cleveland Cavaliers,110
31,Sat Oct 26 2019,New Orleans Pelicans,123,Houston Rockets,126
32,Sat Oct 26 2019,Washington Wizards,122,San Antonio Spurs,124
33,Sat Oct 26 2019,Sacramento Kings,81,Utah Jazz,113
34,Sat Oct 26 2019,Los Angeles Clippers,122,Phoenix Suns,130
35,Sun Oct 27 2019,Golden State Warriors,92,Oklahoma City Thunder,120
36,Sun Oct 27 2019,Brooklyn Nets,133,Memphis Grizzlies,134
37,Sun Oct 27 2019,Portland Trail Blazers,121,Dallas Mavericks,119
38,Sun Oct 27 2019,Miami Heat,109,Minnesota Timberwolves,116
39,Sun Oct 27 2019,Charlotte Hornets,101,Los Angeles Lakers,120
40,Mon Oct 28 2019,Chicago Bulls,98,New York Knicks,105
41,Mon Oct 28 2019,Indiana Pacers,94,Detroit Pistons,96
42,Mon Oct 28 2019,Orlando Magic,95,Toronto Raptors,104
43,Mon Oct 28 2019,Philadelphia 76ers,105,Atlanta Hawks,103
44,Mon Oct 28 2019,Oklahoma City Thunder,112,Houston Rockets,116
45,Mon Oct 28 2019,Cleveland Cavaliers,112,Milwaukee Bucks,129
46,Mon Oct 28 2019,Golden State Warriors,134,New Orleans Pelicans,123
47,Mon Oct 28 2019,Portland Trail Blazers,110,San Antonio Spurs,113
48,Mon Oct 28 2019,Utah Jazz,96,Phoenix Suns,95
49,Mon Oct 28 2019,Denver Nuggets,101,Sacramento Kings,94
50,Mon Oct 28 2019,Charlotte Hornets,96,Los Angeles Clippers,111
51,Tue Oct 29 2019,Atlanta Hawks,97,Miami Heat,112
52,Tue Oct 29 2019,Dallas Mavericks,109,Denver Nuggets,106
53,Tue Oct 29 2019,Memphis Grizzlies,91,Los Angeles Lakers,120
54,Wed Oct 30 2019,Chicago Bulls,111,Cleveland Cavaliers,117
55,Wed Oct 30 2019,New York Knicks,83,Orlando Magic,95
56,Wed Oct 30 2019,Minnesota Timberwolves,95,Philadelphia 76ers,117
57,Wed Oct 30 2019,Milwaukee Bucks,105,Boston Celtics,116
58,Wed Oct 30 2019,Indiana Pacers,118,Brooklyn Nets,108
59,Wed Oct 30 2019,Detroit Pistons,113,Toronto Raptors,125
60,Wed Oct 30 2019,Portland Trail Blazers,102,Oklahoma City Thunder,99
61,Wed Oct 30 2019,Houston Rockets,159,Washington Wizards,158
62,Wed Oct 30 2019,Charlotte Hornets,118,Sacramento Kings,111
63,Wed Oct 30 2019,Los Angeles Clippers,96,Utah Jazz,110
64,Wed Oct 30 2019,Phoenix Suns,121,Golden State Warriors,110
65,Thu Oct 31 2019,Miami Heat,106,Atlanta Hawks,97
66,Thu Oct 31 2019,Denver Nuggets,107,New Orleans Pelicans,122
67,Thu Oct 31 2019,San Antonio Spurs,97,Los Angeles Clippers,103
68,Fri Nov 1 2019,Houston Rockets,116,Brooklyn Nets,123
69,Fri Nov 1 2019,Cleveland Cavaliers,95,Indiana Pacers,102
70,Fri Nov 1 2019,Milwaukee Bucks,123,Orlando Magic,91
71,Fri Nov 1 2019,New York Knicks,102,Boston Celtics,104
72,Fri Nov 1 2019,Detroit Pistons,106,Chicago Bulls,112
73,Fri Nov 1 2019,Los Angeles Lakers,119,Dallas Mavericks,110
74,Fri Nov 1 2019,Utah Jazz,101,Sacramento Kings,102
